input,sector,region,value
Basic Pharmaceuticals and Their Products (Section CF),Transportation and Storage (Section H),EU,5114.938979
Basic Pharmaceuticals and Their Products (Section CF),Accommodation and Food Services (Section I),EU,456.9724793
Basic Pharmaceuticals and Their Products (Section CF),Information and Communication (Section J),EU,2806.068308
Basic Pharmaceuticals and Their Products (Section CF),Financial and Insurance (Section K),EU,2486.34843
Basic Pharmaceuticals and Their Products (Section CF),Real Estate Activities (Section L),EU,1183.546167
Basic Pharmaceuticals and Their Products (Section CF),"Professional, Scientific & Technical (Section M)",EU,9873.992872
Basic Pharmaceuticals and Their Products (Section CF),Administrative and Support Services (Section N),EU,10923.20864
Basic Pharmaceuticals and Their Products (Section CF),Public administration and defence; compulsory social security (Section O),EU,811.518573
Basic Pharmaceuticals and Their Products (Section CF),Education (Section P),EU,731.6424177
Basic Pharmaceuticals and Their Products (Section CF),Other Services (Section (Q-U),EU,988.2373485
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Agriculture, Forestry and Fishing (Section A)",EU,2203.062799
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Mining & Quarrying (Section B),EU,6444.672718
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Food Products, Beverages and Tobacco Products (Section CA)",EU,1389.382367
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Textiles, Wearing Apparel and Leather (Section CB)",EU,2636.143567
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Wood and Paper Products, and Printing (Section CC)",EU,4717.556749
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,46992.41155
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Basic Pharmaceuticals and Their Products (Section CF),EU,1022.823979
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,42648.03055
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,9109.338229
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Computer, Electronic and Optical Products (Section CI)",EU,1039.352386
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Electrical Equipment (Section CJ),EU,1296.788422
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Machinery and Equipment N.E.C. (Section CK),EU,2787.880184
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Transport Equipment (Section CL),EU,1826.20561
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,2643.242259
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Utilities (Section D,E)",EU,18365.62257
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Construction (Section F),EU,3261.461634
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Wholesale, Retail and Repairs (Section G)",EU,23420.52558
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Transportation and Storage (Section H),EU,16049.25324
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Accommodation and Food Services (Section I),EU,1008.674625
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Information and Communication (Section J),EU,3326.830463
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Financial and Insurance (Section K),EU,5252.023291
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Real Estate Activities (Section L),EU,3592.337528
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)","Professional, Scientific & Technical (Section M)",EU,12281.06407
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Administrative and Support Services (Section N),EU,9418.21094
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Public administration and defence; compulsory social security (Section O),EU,1785.560544
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Education (Section P),EU,486.5343352
"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",Other Services (Section (Q-U),EU,1348.648433
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Agriculture, Forestry and Fishing (Section A)",EU,318.915125
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",Mining & Quarrying (Section B),EU,16594.5547
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Food Products, Beverages and Tobacco Products (Section CA)",EU,1130.350314
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Textiles, Wearing Apparel and Leather (Section CB)",EU,1057.822828
"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)","Wood and Paper Products, and Printing (Section CC)",EU,3791.803791
